STATE_CODE,cluster,n_workers,avg_wage,pct_female,posting_count,median_adv_salary
NE,1,4521,42501.2006622021,0.46846122189382317,540,85600.0
NE,2,3811,50141.07288846577,0.501300092226222,540,85600.0
NE,3,94,505000.0,0.18776631000852192,540,85600.0
NH,0,1016,167046.38689637804,0.3292415607189829,295,78100.0
NH,1,2721,48253.21653784015,0.49791032256349516,295,78100.0
NH,2,2848,54493.40554805682,0.5244792789114103,295,78100.0
NH,3,75,626901.9373673036,0.2161624203821656,295,78100.0
NJ,0,9165,175131.6660224378,0.35957634577859326,2614,101600.0
NJ,1,18133,48136.685370012936,0.507542806028122,2614,101600.0
NJ,2,16456,54178.70048008507,0.5284426165418237,2614,101600.0
NJ,3,947,608067.4158835805,0.18604492573751039,2614,101600.0
NM,0,764,147290.68098699136,0.3125665478450072,255,70000.0
NM,1,3853,39814.311023622045,0.48102083830430287,255,70000.0
NM,2,3197,48846.461617309826,0.5263977501954781,255,70000.0
NM,3,105,398000.0,0.19787252443137593,255,70000.0
NV,0,1606,156189.78697058526,0.3297028201758819,589,79700.0
NV,1,6861,42765.22531700205,0.4962460041371818,589,79700.0
NV,2,5499,49684.514405806585,0.49684568544626695,589,79700.0
NV,3,167,566000.0,0.2092344021874223,589,79700.0
NY,0,14299,173124.040302274,0.40767022687202203,3341,85000.0
NY,1,40636,48126.4397316016,0.5101676529231287,3341,85000.0
NY,2,34492,51591.00363450325,0.5223582493016911,3341,85000.0
NY,3,1806,624134.207087359,0.28210007162814604,3341,85000.0
OH,0,5551,150877.59737759738,0.3259248259248259,2627,85000.0
OH,1,26132,43144.2654930879,0.49724380810596797,2627,85000.0
OH,2,22132,50528.772933925895,0.5190954403712524,2627,85000.0
OH,3,712,509000.0,0.18704371130209776,2627,85000.0
OK,0,1136,148953.76923622438,0.2808807885965534,606,84000.0
OK,1,7938,39941.95211378537,0.48124302945340897,606,84000.0
OK,2,6201,48889.54655818366,0.5073306426974964,606,84000.0
OK,3,156,474000.0,0.26910153396639885,606,84000.0
OR,0,2743,157330.27116277523,0.36281365085345535,1090,85000.0
OR,1,9169,45129.00623600055,0.49415930624852417,1090,85000.0
OR,2,6807,51299.78368467888,0.5185139157384393,1090,85000.0
OR,3,224,557000.0,0.2846825314351034,1090,85000.0
PA,0,6865,164162.94091426607,0.3439198406049279,2254,86600.0
PA,1,26100,45074.76000026093,0.49744681128647705,2254,86600.0
PA,2,24685,50595.245832509776,0.5259046666768027,2254,86600.0
PA,3,619,589000.0,0.21881916078722613,2254,86600.0
RI,0,644,164926.20193701793,0.31712868990314913,458,87166.0
RI,1,2043,46806.52887863157,0.499680186127933,458,87166.0
RI,2,1888,54186.0505171164,0.5047117318549827,458,87166.0
RI,3,58,523000.0,0.19101686425112707,458,87166.0
SC,0,2375,157022.72454755576,0.29346751952632383,645,85000.0
SC,1,10934,41668.03368033337,0.4981614720709191,645,85000.0
SC,2,9899,48880.36856971386,0.5335979870169199,645,85000.0
SC,3,296,533000.0,0.22383419689119172,645,85000.0
SD,0,228,134339.441568746,0.26550043450334376,290,76000.0
SD,1,2077,43266.2005136944,0.48662665777580205,290,76000.0
SD,2,1873,49007.392920195096,0.49939854573745474,290,76000.0
SD,3,52,436000.0,0.1976611986356992,290,76000.0
TN,0,3267,160109.95660451133,0.316056330805669,1274,83000.0
TN,1,15844,42409.09595203981,0.49271191610189596,1274,83000.0
TN,2,12612,48939.82728322453,0.512233034972194,1274,83000.0
TN,3,394,578000.0,0.21157303050189746,1274,83000.0
